合约品种,现价,涨/跌停板,买开保证金,卖开保证金,每手保证金,开仓手续费,平昨手续费,平今手续费,每跳毛利/元,开平手续费,每跳净利润,是否是主力合约,
低硫燃料油 (lu2205),3530,3812/3247,10%,10%,3530元,0.1/万分之,0.1/万分之,0.1/万分之,10,0.7元,9.3,,0.2635%
低硫燃料油 (lu2202),3534,3816/3251,10%,10%,3534元,0.1/万分之,0.1/万分之,0.1/万分之,10,0.7元,9.3,,0.2632%
豆油 (y2207),8378,9048/7708,9%,9%,7540.2元,0.2元,0.2元,0元,20,0.2元,19.8,,0.2626%
红枣 (CJ207),14485,15500/13470,10%,10%,7242.5元,3元,3元,3元,25,6元,19,,0.2623%
郑麦 (WH201),2725,2862/2588,7%,7%,3815元,5元,5元,5元,20,10元,10,,0.2621%
低硫燃料油 (lu2206),3549,3832/3265,10%,10%,3549元,0.1/万分之,0.1/万分之,0.1/万分之,10,0.7元,9.3,,0.2620%
纸浆 (sp2111),5900,6430/5368,11%,11%,6490元,0.5/万分之,0.5/万分之,0/万分之,20,3元,17,,0.2619%
低硫燃料油 (lu2201),3558,3842/3273,10%,10%,3558元,0.1/万分之,0.1/万分之,0.1/万分之,10,0.7元,9.3,,0.2614%
棉花 (CF111),17700,19120/16280,10%,10%,8850元,2元,2元,0元,25,2元,23,,0.2599%
低硫燃料油 (lu2112),3580,3866/3293,10%,10%,3580元,0.1/万分之,0.1/万分之,0.1/万分之,10,0.7元,9.3,主力合约,0.2598%
棕榈 (p2208),7634,8244/7024,10%,10%,7634元,0.2元,0.2元,0元,20,0.2元,19.8,,0.2594%
棕榈 (p2207),7636,8246/7026,10%,10%,7636元,0.2元,0.2元,0元,20,0.2元,19.8,,0.2593%
低硫燃料油 (lu2111),3615,3904/3325,10%,10%,3615元,0.1/万分之,0.1/万分之,0.1/万分之,10,0.7元,9.3,,0.2573%
棉纱 (CY207),23515,24930/22100,7%,7%,8230.25元,4元,4元,0元,25,4元,21,,0.2552%
棕榈 (p2206),7774,8394/7154,10%,10%,7774元,0.2元,0.2元,0元,20,0.2元,19.8,,0.2547%
豆油 (y2203),8738,9436/8040,9%,9%,7864.2元,0.2元,0.2元,0元,20,0.2元,19.8,,0.2518%
郑麦 (WH205),2840,2982/2698,7%,7%,3976元,5元,5元,5元,20,10元,10,,0.2515%
聚氯乙烯 (v2106),9200,9840/8560,20%,20%,9200元,1元,1元,1元,25,2元,23,,0.2500%
棕榈 (p2204),7974,8610/7338,10%,10%,7974元,0.2元,0.2元,0元,20,0.2元,19.8,,0.2483%
